act,prompt
EXTENSOR USB WIFI PARA TV 300M PIX-LINK,"<ul>
 	<li>Interfaz:USB</li>
 	<li>Tipo inalámbrico:Wi-Fi</li>
 	<li>Contenido:Audio y vídeo</li>
 	<li>Compatibilidad con alta definición:Ninguno</li>
 	<li>Pista de sonido:Doble</li>
 	<li>WiFi estándar:Ninguno</li>
 	<li>Adapter length:8.4cm/ 3.36</li>
 	<li>Wireless:IEEE 802.11 b/g/n standards</li>
 	<li>Transmission Rate:300Mbps</li>
</ul>"
REPETIDOR USB WI-FI PIX LINK LV-UE03,"• Alimentado por USB.

• Diseño de rotación USB 180 °.

• Velocidad inalámbrica de hasta 300Mbps.

• Cumple con los estándares IEEE 802.11B/G/N.

• Aumenta la cobertura Wi-Fi existente para ofrecer una entrega rápida y fácil

Potencia de transmisión: &lt;20dBm

Modo: repetidor / AP / Cliente WISP

Modulación: DBPSK, DQPSK, CCK, 16-QAM, 64-QAM, 256-QAM

Voltaje: 5V / 0.6A

Sensibilidad de recepción: 270M (-69dBm @ 10% PER)

Temperatura de funcionamiento: 0-40'C (32-104'F)

Temperatura de almacenamiento: -40-70'C (-40-158'F)

Humedad de funcionamiento: 10-90%

Humedad de almacenamiento: 5-90%"
ANTENA GRANDE 802IIN DE 1000 MBS,"Cumple con los estándares de seguridad WEP, WPA y WPA2 de 64/128 bits
Proporciona tasas de transmisión 1500 Mbps
Windows Vista/XP/2000/7/10 Linux MAC OS
Trabaja en OS Beini... BT4... BT5 Kali Linux 2016,2017 de AP modo Monitor

Especificaciones:
Rendimiento máximo: 150 Mbps
Antena: Antena PCB de 5 dBi
Potencia de transmisión inalámbrica: 20 dBm
Rango de frecuencia: 2,40 Ghz
Tipo de interfaz: USB 2,0

Lista de embalaje:
1 x adaptador USB inalámbrico
1 x controlador de CD
1 x Antena"
ANTENA GRANDE FIJA PIXLINK LV-UW10,"Antena Wifi Pix-link Lv-uw10 150mbps Usb 2.0 Laptop Pc

Características:
- Conexión por WPS
- Velocidad de transmisión de datos de hasta 150 mbps
- Interface USB 2.0
- Compatible con IEEE 802.11 b/g/n
- Seguridad: WEP, WPA/WPA2, WPA-PSK, WPA2-PSK
- Compatible con: Windows 7/8/10, OS X, Linux

Incluye:
x1 Adaptador Wifi
x1 Manual de Usuario
x1 CD de Drivers"
ANTENA PEQUENA FIJA PIX LINK LV-UW10S,"'-Chip: MT7601
-Soporte os: Windows 2000/XP/Vista/10/8.1/5/7, mac OS 10.7-10.10, Linux
-Protocolo wifi: 802.11b/G/n, velocidad hasta 150 Mbps
-Banda de frecuencia wifi: 2.4 GHz ISM (medicina industrial científica)
Modo de seguridad: 64/128bit WEP cifrado WPA, WPA-PSK, WPA2, WPA2-PSK, TKIP/aes
-Canal: 1-14 canales (selección de dominio universal)
Interfaz de host: Interfaz USB2.0/1.1 de alta velocidad
Ganancia de antena 5dbi
Temperatura de almacenamiento:-20-75 grados. c
Temperatura de trabajo: 0-40 grados. c
-Humedad de funcionamiento: 10-90 por ciento
-Humedad de almacenamiento: 5-95 por ciento"
RECEPTOR WIFI NANO ALFA NEXT UW06,"<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Super-small size compact design that fits into your computer’s <a href=""https://en.wikipedia.org/wiki/USB"">USB</a> port with minimal protrusion making it ideal for use when traveling or in a crowded workspace</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Provides an excellent solution for performing everyday activities such as transferring files, browsing the Internet, and downloading music.</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Complies with wireless 802.11n standards- Data rate up to 150Mbps</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Supports 64/128 bit WEP, WPA encryption</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Transfer Method: Direct Sequence Spread Spectrum (DSSS)</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Frequency Band: 2.4~2.4835GHzEffective</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Working Distance: 100 meters farthest indoor and 150 meters farthest outdoor (varies due to the environment)</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Support System with Windows_ Vista / XP / 2000 / 7 / with MAC / Linux</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Dimensions: 0.71 in x 0.59 in x 0.24 in (18 mm x 15 mm x 6 mm)</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Net Weight: 0.07oz (2g)</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Package Weight: 2 G / 0.07 Ounces</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4a67LCZLLCZLOK"">Package Dimensions (L*W*H): 80*20*30 MM / 3.15*0.79*1.18 Inches</p>"
RECEPTOR WIFI NANO USB WIFI LV-UW06 CJ.NEGRA,"<ul class=""description-list"">
 	<li>• Modelo LV-UW06</li>
 	<li>• Tipo Nano Adaptador Inalámbrico</li>
 	<li>• Antena Interna</li>
 	<li>• Interfaz USB 2.0 Tipo A</li>
 	<li>• Velocidad Máxima 950Mbps</li>
 	<li>• Frecuencia Banda 2.4GHz</li>
 	<li>• Seguridad avanzada: Soporta 64/128 WEP, WPA/WPA2 Y WAPI</li>
 	<li>• Estándar IEEE 802.11b/g/n</li>
 	<li>• Controladores que admiten el acceso</li>
 	<li>• Sistema Compatible Windows 10/8.1/8/7/XP</li>
 	<li>• Color Negro</li>
</ul>"
RECEPTOR NANO WIFI + BLUETOOTH 4.0,"Instrucciones de Bluetooth:

• Versión Bluetooth: V4.0

• Distancia de transmisión: 10 metros

• Potencia RF: 10dBm (máximo)

• Ganancia de antena: 2dBi

• Velocidad de transmisión: 3 M/S

• Corriente operativa: 100 mA-200 mA (BT   wifi), cambios actuales con modo operativo.
<p data-spm-anchor-id=""a2g0o.detail.1000023.i0.4f5e5f9evPah40"">• Sistema operativo compatible: Sistema Operativo WIN 7/WIN8/10</p>"
REPETIDOR WIFI PIX LINK LVWR12,"<div><strong><span data-spm-anchor-id=""a2g0o.detail.1000023.i0.2bba62613L0Kji"">Inalámbrico</span></strong></div>
<div><span data-spm-anchor-id=""a2g0o.detail.1000023.i1.2bba62613L0Kji"">Estándar IEEE802.11b, IEEE 802,11g, IEEE 802.11n</span></div>
<div>Modulación 802.11b: DSSS / BPSK / QPSK / CCK</div>
<div>802,11g: OFDM / DSSS / BPSK / QPSK / CCK</div>
<div>802.11n: OFDM / DSSS / BPSK / QPSK / CCK</div>
<div>Velocidad 802.11b: 11mbps</div>
<div>802,11g: 54Mbps</div>
<div>802.11n: 300Mbps</div>
<div>Canal 11: (Ch.1-11) -EE. UU.</div>
<div>13: (Ch.1-13) -Europa</div>
<div>14: (Ch.1-14) -Japón</div>
<div>Banda de frecuencia 2.412 ~ 2.462GHz-EE. UU.</div>
<div>2.412 ~ 2.472GHz-Europa ETSI</div>
<div>2.412 ~ 2.484GHz-Japón</div>
<div>Potencia 802.11b: 17dBm ± 1,5 dBm</div>
<div>802,11g: 14dBm ± 1,5 dBm</div>
<div>802.11n: 14dBm ± 1,5 dBm</div>
<div>Sensibilidad 802.11b: -83dBm/802,11g: -70dBm / 802.11n: -68dBm</div>
<div>Antena 2 x 3dBi antenas integradas</div>
<div>Distancia al aire libre 300m, interior 100m (según el cambio de entorno real)</div>
<div>Seguridad 64/128-bit WEP, AES, TKIP, WPA, WPA2, 802.1x, WPA-PSK, WPA2-PSK, MAC, WDS</div>
<div><strong>Software</strong></div>
<div>Versión Estándar RFC768 protocolo de Datagram de usuario (UDP)</div>
<div>RFC791 protocolo de Internet (IP)</div>
<div>RFC792 protocolo de mensajes de Control de Internet</div>
<div>RFC793 Protocolo de Control de Transmisión (TCP)</div>
<div>Ancho de banda: 20MHz, 40MHz, automático (opcional)</div>
<div>Modo inalámbrico: 11n solamente, 11 b/g/n mezclado, 11 b/g mezclado, 11g solamente, 11b solamente (opción)</div>
<div>Modo AP/modo repetidor</div>
<div>Seguridad Inalámbrica Detección de dirección MAC inalámbrica</div>
<div>Interruptor de función de seguridad inalámbrico</div>
<div>WEP de 64/128/152 bits</div>
<div>WPA-PSK/WPA2-PSK, WPA/WPA2</div>
<div>Función de control de Ancho de Banda IP (soporte de modo de enrutador)</div>
<div>Relé DNS (soporte de modo Router)</div>
<div>Paso a través de VPN (soporte de modo de enrutador)</div>
<div>Enrutador estático (soporte de modo de enrutador)</div>
<div>Servidor DHCP (soporte de modo Router)</div>
<div>Configuración de lista de servidores DHCP (soporte de modo de enrutador)</div>
<div>Asignación de dirección IP estática (soporte de modo de enrutador)</div>
<div><strong>Seguridad</strong></div>
<div>Configuración de enlace de dirección IP y MAC contra ataques ARP (admite modo Router).</div>
<div>Detección de dirección IP (soporte de modo de enrutador)</div>
<div>Detección de nombre (soporte de modo de enrutador)</div>
<div>Detección de dirección MAC (soporte de modo Router)</div>
<div>Estadísticas de tráfico de herramientas del sistema</div>
<div>Diario del sistema</div>
<div><strong>Hardware</strong></div>
<div>Puertos 1 x conector RJ45</div>
<div>Botón de Reinicio WPS</div>
<div>LED 1 * LAN, 1 * WLAN, 1 * potencia, 1 * WPS</div>
<div>Chipset RTL8196E</div>
<div>Flash de 16Mbps</div>
<div>SDRAM 128Mbps</div>
<div>Fuente de alimentación interna DC5V / 1A</div>
<div>Enchufe europeo</div>
<div>Consumo de energía 2,3 W</div>
<div>Tensión/frecuencia/corriente nominal 100-240 VAC 50/60Hz, 0,1a máx.,</div>
<div><strong>Ambiental</strong></div>
<div>Temperatura de funcionamiento 0 ~ 40 grados Celsius</div>
<div>Temperatura de almacenamiento-10 ~ 70 grados Celsius</div>
<div>Humedad Relativa 10% ~ 90% (sin condensación)</div>
<div>Información del producto:</div>
<div>Color blanco</div>
<div>Tamaño aproximado del producto. 9,5*8cm/3,74*3, 15in</div>
<div>Peso aproximado del producto. 150g/3,8 oz</div>"
REPETIDOR WI-FI + ROUTER + AP PIX LINK 4 ANTENAS LV-WR09,"El mini enrutador Wireless- N Pix-Link LV-WR09 se utiliza principalmente para brindar servicio de Wi-Fi gratuito en áreas grandes como fábricas, comunidades, calles y le permite disfrutar de una cobertura inalámbrica perfecta en todo su hogar u oficina. El mini enrutador Wireless-N aumenta su Wifi existente al aumentar su alcance. El mini enrutador Wireless-N facilita la conectividad a tablets, celulares, computadoras portátiles, para transmisión HD, juegos y más. El mini enrutador Wireless-N admite los estándares de transmisión inalámbrica 802.11 N y es compatible con los estándares IEEE802.11 b / g.

&nbsp;

<strong>CARACTERÍSTICAS DEL PRODUCTO:</strong>
<ul>
 	<li>Cuatro antenas externas</li>
 	<li>Duplique la cobertura de su Wi-Fi con facilidad</li>
 	<li>Admite enrutador, repetidor, VS, cliente y modo AP</li>
</ul>
&nbsp;

<strong>DESTACADO DEL PRODUCTO:</strong>

• Toma de 110-230 voltios.

• El cliente WLAN debe admitir al menos el estándar de encriptación WPA.

• WLAN AP y WLAN Client con asignación automática de direcciones IP (DHCP).

• Reenvío de protocolos basados en IPv4 / Protocolo de resolución de direcciones.

• El nombre de red (SSID) del punto de acceso WLAN debe configurarse como «visible».

• La contraseña de «WIFI» no puede contener caracteres especiales."
MINI ROUTER + REPETIDOR PIX LINK LV-WR11,"<h2 class=""ui-pdp-description__title"">Descripción</h2>
<p class=""ui-pdp-description__content"">SI DESEA LA COMPRA EN EL MENOR TIEMPO DE ENTREGA. TOME LA OPCION ACORDAR CON EL VENDEDOR. ADICIONAL LE PODEMOS ENVIAR POR EMPRESA DE TRANSPORTE
Horario de Atención:
De lunes a viernes de 9:00 a.m a 6:00 p.m. Sábados de 9:00 a.m a 1:00 p.m.

El extensor de alcance WiFi le da un impulso a la red WiFi existente para adaptarse a más dispositivos.
Con este extensor de rango inalámbrico, podrás mejorar tu red WiFi existente con una velocidad de 300 Mbps.
Al ampliar la cobertura inalámbrica, puedes conectar más dispositivos móviles dentro y fuera de tu hogar.
Y este repetidor le dará más opciones para conectarse en línea usando un ordenador portátil de TV, tableta, smartphone o un dispositivo compatible similar.

Color: blanco
Material: ABS
Velocidad inalámbrica de hasta 300 Mbps
Admite enrutador, repetidor, cliente, WPS y Modo AP
Aumenta la cobertura de Wi-Fi existente para ofrecer más rápido fácilmente
Admite cifrado de WPA-PSK/WPA2-PSK
Las antenas integrado
Parámetro de rendimiento:
Área de cobertura: 100 metros cuadrados (según el cambio real del entorno)
Interfaz: puerto LAN (1x10/100 Mbps) y LAN/WAN Puerto (1x10/100 Mbps)
Estándar WiFi: 802.11b/g/n
Velocidad de señal: 2,4 GHz, 300 Mbps
Seguridad inalámbrica: WPA-PSK/WPA2-PSK/WEP (128/64 bits)
Potencia de transmisión: 20dBm (máx.)
Notas:
1. Guarda en lugares secos, No lo pongas en agua o en lugares demasiado húmedos.
2. No desmonte el producto para evitar descargas eléctricas.
ESTILO: interna
Tipo: inalámbrico
Peso del producto: 0,0940 kg

Incluye:
1 Pza x Amplificador de señal WIFI
1 Unidad x adaptador de corriente
1 Pza x manual de instrucciones
1 Cable Lan (Rj45)</p>"
REPETIDOR WIFI PARA PARED,"<ul>
 	<li>Repetidor WIFI</li>
 	<li>Velocidad de transmisión: 300 Mbps</li>
 	<li>Compacto para un facil traslado.</li>
 	<li>Sencilla instalacion</li>
 	<li>Alimentacion 100V - 220V</li>
 	<li>Bajo consumo de energia</li>
 	<li>Protocolo wi-fi 802.11g,b,n</li>
 	<li>Puede instalarse desde un dispositivo Android o Windows</li>
 	<li>Tiene un puerto Lan RJ45</li>
 	<li>Velocidad de transmision 300Mbps.</li>
 	<li>Seguridad inalambrica: 64/128 Bit WEP, WPA-PSK WPA2-PSK</li>
 	<li>INCLUYE MANUAL DE INSTALACIÓN IMPRESO EN ESPAÑOL</li>
</ul>"
REPETIDOR WIFI DIRECTO LV-WR13B PIX LINK,"<table class=""all magic-2"">
<tbody>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Tipo de enchufe</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">UE, Reino Unido, EE. UU., AU</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Las normas</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">Isuzu 802.11n, Isuzu 802,11g, Isuzu 802.11b</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Interfaz</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">1*10/100Mbps LAN/WAN puerto</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Botón</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">Botón WPS, botón de Reinicio</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Antena</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">2 * externo ANT</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Dimensiones (ancho x alto x Alto)</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">96x80x36mm</div></td>
</tr>
<tr>
<td colspan=""2"" rowspan=""1"">
<div class=""magic-6""><b data-spm-anchor-id=""a2700.pc-decorate.0.i136.278833335TMM4X"">Inalámbrico</b></div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Frecuencia</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">2,4 ~ 2,4835 GHz</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Tasa de señal</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">Hasta 300Mbps (dinámico)</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Recepción de sensibilidad</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">270M: -69dBm @ 10% por</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Potencia de transmisión</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">&lt;20 dBm (EIRP)</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">Inalámbrico modos</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"">Repetidor/AP</div></td>
</tr>
<tr>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-9"">De seguridad inalámbrica</div></td>
<td colspan=""1"" rowspan=""1"">
<div class=""magic-10"" data-spm-anchor-id=""a2700.wholesale.0.i24.c1af613aQl6wkX"">64/128/152-poco WEP WPA-PSK / WPA2-PSK</div></td>
</tr>
</tbody>
</table>"
REPETIDOR WIFI DIRECTO LV-WR29 PIX LINK,"<strong>Características:</strong>
<div>
<div>Mejora la cobertura inalámbrica en todas las redes WLAN.</div>
<div>Acceso a Internet para ordenadores ubicados en el borde o fuera del rango de tu punto de acceso.</div>
<div>Cumple con los estándares IEEE 802.11n, IEEE 802,11g, IEEE 802.11b.</div>
<div>Proporciona hasta 300Mbps de velocidad de transmisión.</div>
<div>Compatible con Redes WLAN de 2,4 GHz.</div>
<div>Máxima seguridad WLAN con WPA2, WPA y WEP (128/64).</div>
<div>Asistente de Software para una configuración sencilla.</div>
<div>Antenas 2dBi integradas</div>
<div>Admite modo repetidor inalámbrico y Modo AP estándar.</div>
<div>Proporciona un puerto Ethernet LAN de negociación automática de 10/100Mbps.</div>
<div>Corrige el idioma y la estabilidad de la señal</div>
<div>Revisar reinicio predeterminado</div>
<div>La versión anterior necesita reiniciar, pero ahora no es necesario.</div>
<div>La versión 2 puede ser compatible<strong>Chino, inglés</strong></div>
<div>

El
El extensor de rango WiFi puede cubrir dos pisos con una distancia de relé de 50
Metros y sin ángulo muerto a través de la pared de hormigón, extender y
Fortalece tu señal inalámbrica.

Es
Cubre el área de tu hogar u oficina 360 grados en todas las direcciones, y tú
No tiene que preocuparse por romper la red en la cocina, el inodoro, el techo.
O incluso el sótano.

</div>
</div>
<h1>Especificaciones:</h1>
<div>Producto: repetidor WIFI</div>
<div>Color: blanco</div>
<div>Tipo de enchufe: enchufe EU/US/UK/AU</div>
<div>Voltaje: ca 110-240V</div>
<div>Rango de frecuencia: 2,41-2,48 GHz</div>
<div>Longitud del Cable de red: aprox. 1m</div>
<h2>Paquete:</h2>
1 repetidor WiFi inalámbrico

1 Cable de red RJ-45

<span data-spm-anchor-id=""a2g0o.detail.1000023.i0.7e2d3dd5CrxPJy"">1 guía de instalación</span>"
CONVERTIDOR VGA A HDMI MINI CJ AZUL,"Descripción

Se usa para convertir señal de audio analógica de vídeo VGA y 3,5mm en tu ordenador a señal HDMI y mostrarla en la gran pantalla del HDTV
Plug and play
Apoya la entrada VGA resolución (en 60Hz): 640x480x800x600x1024x768 contra salpicaduras y bandeja para viruta, lámina de acero 1600x1200mm para 720×1280, 1920×1080 píxeles
Habilita HDTV para conectar ordenadores, ordenadores portátiles, DVD u otros dispositivos con interfaz VGA; No se necesita ningún controlador de software
Alimentado por cable USB directamente (incluido en el paquete), fácil de usar
Ver Salida de PC de alta resolución en un HDTV

Si desea ver su escritorio de PC o aplicaciones en su HDTV, pero no tiene los puertos necesarios, Este convertidor es lo que necesita. Simplemente conecte un cable de vídeo VGA estándar en el puerto de entrada del convertidor junto con un cable de audio de 3,5mm normal y luego conecte un cable HDMI desde el convertidor a su TV. Disfruta de una adición práctica y sencilla a tu sistema AV con este dispositivo, que es fácilmente ocultable pero capaz de borrar, audio y video HDMI de alta definición.

Funciona muy bien con televisores de 720p o 1080p;
Admite entrada VGA de 800×600 píxeles hasta 1920×1080;
Integra entrada de audio analógica en la salida HDMI, proporcionando una señal totalmente digital para maximizar la fidelidad del audio y video.

El paquete incluye
1 x convertidor de VGA a HDMI
1 x Mini cable de alimentación USB"
CONVERTIDOR VGA A AV(RCA) MINI CJ AZUL,"1. Ancho de banda de frecuencia 165 MHz

2. Puerto de Entrada 1 x VGA

3. Puerto de salida 1 x AV

4. Fuente de alimentación USB

5. Modelo de cuerpo humano de protección contra la EDD:

88kv (descarga de aire libre)

Kv (descarga de contacto)

6-temperatura de funcionamiento 0 ° C ~ 40 ° C / 32 ° F ~ 104 ° F

7 temperatura de almacenamiento-20 ° C ~ 60 ° C / -4 ° F ~ 140 ° F
<p data-spm-anchor-id=""a2700.wholesale.0.i19.1d1958e81mFpJO"">8. Humedad Relativa 20 ~ 90% RH (sin condensación)</p>"
CONVERTIDOR AV (RCA) A VGA MINI CJ AZUL,"1. Ancho de banda de frecuencia 165 MHz

2. Puerto de Entrada 1 x VGA

3. Puerto de salida 1 x AV

4. Fuente de alimentación USB

5. Modelo de cuerpo humano de protección contra la EDD:

88kv (descarga de aire libre)

Kv (descarga de contacto)

6-temperatura de funcionamiento 0 ° C ~ 40 ° C / 32 ° F ~ 104 ° F

7 temperatura de almacenamiento-20 ° C ~ 60 ° C / -4 ° F ~ 140 ° F
<p data-spm-anchor-id=""a2700.wholesale.0.i19.1d1958e81mFpJO"">8. Humedad Relativa 20 ~ 90% RH (sin condensación)</p>"
CONVERSOR VGA A HDMI 30cm (CAJA VERDE ),"DESCRIPCION
Convierta las señales analógicas en señales digitales y disfrute de un festín de audio / visual de alta definición
- Conecta y reproduce, fácil de transportar, sin necesidad de controladores
- Adecuado para monitor de computadora portátil TV PC

CARACTERISTICAS:
Salida de audio y video sincronizado
Alta calidad y ancho de banda
Soporta hasta 1080p@60Hz
Entrada VGA Macho
Salida HDMI Hembra
Audio Jack 3.5mm
Color:Negro

INCLUYE
1 x conversor VGA a HDMI con audio
1 x Cable USB"
CONVERTDIOR VGA+AV A HDMI METALICO + FUENTE,"Convertidor VGA a HDMI, puede conectar su dispositivo de entrada de señal de interfaz VGA al dispositivo de pantalla HD con dispositivo de salida HDMI, para que pueda tener pantalla grande con puerto HDMI en HDTV, proyector, ¿presentación de diapositivas? mira vídeos full HD o diapositivas y escucha música más potente con resoluciones de salida de hasta 1920*1080 P

Soporte HD 1080 P, alta compatibilidad (compatible con varios sistemas), chip de alto rendimiento, modo de copia/expansión

1: diseño de moda, artesanía exquisita, chips importados, rendimiento fuerte garantiza una buena señal, garantiza una transmisión de señal rápida y suave, estable y clara y duradera
2: fuente de alimentación del enchufe del pie 1A, evitar
3: chip de actualización de alto rendimiento, imagen realista
4: alta compatibilidad, soporte para múltiples sistemas operativos
5: Modo de copia y modo extendido
6: soporte 1080 P
Interfaz: entrada de cabeza VGA, salida hembra HDMI"
CONVERTDIOR VGA A HDMI BLISTER AZUL,"<b>Amkle VGA A HDMI Convertidor De </b>Adaptador VGA Macho A HDMI Hembra 1080P Video Converter Con Cable De AlimentacióN De Audio Para PC Ordenador PortáTil

&nbsp;

&nbsp;

&nbsp;

El Producto Se Utiliza Principalmente En PelíCulas De Alta DefinicióN En La Computadora O DVD En La Interfaz HDMI Con ReproduccióN De TV De Alta DefinicióN, No Se Puede Aplicar A Otros Dispositivos, De Lo Contrario, No Se Puede Garantizar El Efecto.

&nbsp;

¡Plug And Play, No Es Necesario Configurar Pantallas MúLtiples! FáCil De Usar, RáPido

&nbsp;

Mini Apariencia, FáCil De Llevar, BáSicamente Sin Problemas De Compatibilidad

&nbsp;

Formato HDMI Completamente Digital, La Calidad BáSica DespuéS De La ConversióN Sin PéRdida.

&nbsp;

Admite Salida VGA VESA EstáNdar, HDMI Alta ResolucióN De Salida Hasta: 1920 X 1200

&nbsp;

No Se Necesita Una Fuente De AlimentacióN Adicional, Viene Con Un Cable VGA Con FuncióN De Fuente De AlimentacióN, Pero El Equipo MáS Grande, La Fuente De AlimentacióN, Puede Equiparse Con Una Fuente De AlimentacióN USB.

&nbsp;

Se Adapta AutomáTicamente A Pantallas HDTV O DVI.

&nbsp;

&nbsp;

&nbsp;

Paquete:

&nbsp;

Convertidor De Adaptador VGA A HDMI X 1

&nbsp;

Cable De Audio X 1

&nbsp;

Cable De AlimentacióN X 1"
CONVERTIDOR VGA A AV (RCA) + FUENTE CJ VERDE,"DESCRIPCION
Ideal para transmitir el video de tu pc o laptop hacia una gran infinidad de aparatos de video como televisores, proyectores, monitores, pantallas, y muchos aparatos más.
Transmite el video con excelente calidad con resoluciones hasta 1024*768.

CARACTERÍSTICAS:
-Soporta VÍDEO Compuesto, S-VIDEO, RGB (Opcional) salida.
-Soporta Resoluciones
640X480 @ 60/72/75 / 85Hz 800x600 @ 60/72/75 / 85Hz, 1024x768 @ 60/70/75 / 85Hz,
1280x1024 @ 60 modo de visualización.
-On Screen Display (OSD)
-Estado de funcionamiento, Zoom
-Tamaño independiente Horizontal y Ajuste vertical Tamaño, programable 2D de escala.
-Diseño de hardware Puro, Simplemente Plug &amp; Display.
-No requisito software del conductor, compatible con cualquier sistema operativo.
-Cambie el sistema de vídeo NTSC, NTSC-EIAJ (para Japón), PAL, PAL-M, PAL-N, PAL y ---------SECAM (vía SALIDA RGB).
-Apoya el control de Posición, ZOOM y el botón de MENÚ.
-Botón MENU para HSIZE, VSIZE, BRILLO, CONTRASTE, TONO, SATURACIÓN, NITIDEZ y
OSD de ajuste de color de FONDO.
-Visualización Simultánea en monitor VGA y TV.
-Digitalizador de color auténtico de 11,24 bits.

INCLUYE:
1 CONVERTIDOR VGA
1 CABLE VGA
1 CABLE S-VIDEO
1 FUENTE DE ALIMENTACION
1 CABLE RC VÍDEO"
CONVERTIDOR AV RCA() A VGA + FUENTE,"<div class=""detailmodule_text-image"">
<p class=""detail-desc-decorate-title"">Características y especificaciones:</p>
<p class=""detail-desc-decorate-content"">Técnicas avanzadas de procesamiento de imágenes digitales aplicadas, para convertir señales de vídeo a todo tipo de resolución VGA.
Compatible con PAL/NTSC/SECAM.
Brillo, contraste, nitidez, saturación, tinte, HP (posición Horizontal), VP (posición Vertical), resolución ajustable.
Admite la congelación.
Filtro de peine Digital, no más colores cruzados.
Desentrelazado adaptable al movimiento 3D.
La salida VGA estándar funciona con todos los monitores estándar.
La tecnología de procesamiento de vídeo 3D se aplica para ofrecer imágenes nítidas, brillantes y saturadas y vídeos fluidos sin ninguna distorsión.
El producto es ampliamente utilizado en monitores DVR de back-end, equipos de enseñanza de video, Metro e Industria para reemplazar los monitores tradicionales CRT.
Menor consumo de energía y menos calor generado para largas horas de trabajo.
Peso ligero, tamaño compacto.
Calidad de imagen clara.
Solo tienes que enchufar y usar, simple y práctico.</p>

</div>
<div class=""detailmodule_text-image"">
<p class=""detail-desc-decorate-title"">El paquete contiene:</p>
<p class=""detail-desc-decorate-content"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.3d1e4f158RqsAJ"">Convertidor s-video/AV a VGA X1
5V USB DC cable de alimentación X1</p>

</div>"
